7cd  24.609 101395.240  -5.844 438.751  53.959  24.815  24.500 
8d4  25.973 101342.912  -1.490 198.516  51.754  25.844  25.562 
7ef  24.820 101427.072  -8.492 323.486  55.164  24.847  24.500 
7cd  24.609 101392.064  -5.580 437.454  53.936  24.815  24.500 
8d4  25.973 101330.376   0.449 191.970  51.724  25.844  25.562 
7ef  24.807 101423.568  -8.201 313.995  55.134  24.858  24.531 
7cd  24.627 101410.096  -7.081 434.829  53.959  24.815  24.500 
8d4  25.973 101336.640   0.967 175.201  51.724  25.844  25.562 
7ef  24.820 101411.856  -7.229 314.392  55.134  24.858  24.531 
7cd  24.609 101398.432  -6.108 432.846  54.020  24.815  24.531 
8d4  25.967 101341.168  -1.347 181.518  51.693  25.844  25.562 
7ef  24.820 101417.944  -7.736 318.527  55.111  24.858  24.531 
7cd  24.634 101395.936  -5.902 434.570  54.020  24.815  24.531 
8d4  25.967 101338.032  -1.083 181.472  51.662  25.844  25.562 
7ef  24.832 101412.296  -7.266 319.381  55.111  24.858  24.531 
7cd  24.640 101397.720  -6.050 434.692  53.989  24.815  24.531 
8d4  25.955 101331.400   0.533 184.143  51.662  25.844  25.562 
7ef  24.820 101420.984  -7.990 315.200  55.134  24.868  24.531 
7cd  24.634 101399.128  -6.167 444.335  53.989  24.825  24.531 
8d4  25.961 101336.280   0.940 217.010  51.662  25.844  25.562 
7ef  24.826 101416.656  -7.625 329.666  55.164  24.868  24.531 
7cd  24.646 101409.016  -6.991 448.715  53.989  24.825  24.531 ,63562208308353
8d4  25.961 101330.016   0.417 220.321  51.693  25.855  25.562 
7ef  24.838 101414.072  -7.414 329.452  55.134  24.868  24.562 
7cd  24.652 101401.240  -6.346 447.906  53.959  24.836  24.531 
8d4  25.961 101330.016   0.417 215.942  51.724  25.855  25.562 
7ef  24.844 101418.848  -7.810 329.650  55.225  24.868  24.562 
7cd  24.659 101406.176  -6.758 456.451  53.967  24.836  24.531 
8d4  25.955 101334.528   0.792 221.328  51.724  25.855  25.562 
7ef  24.851 101432.768  -8.967 331.527  55.286  24.879  24.562 ,63562208311273
7cd  24.659 101406.176  -6.758 456.954  53.906  24.836  24.562 ,63562208311773
